disease, disease_url, disease_header, disease_content
A1AT Deficiency,https://www.webmd.com/lung/alpha-1-antitrypsin-deficiency-rare,Get Support,National Jewish Health: "Alpha-1 Antitrypsin Deficiency: Inherited Liver Disease."
Aarskog Syndrome,https://www.webmd.com/children/aarskog-syndrome-10704,For a Complete Report,Last Updated: 5/29/2012Copyright 1989; 1990; 1994; 1995; 1996; 2003; 2004; 2007; 2009; 2012 National Organization for Rare Disorders; Inc.
Aarskog-Scott Syndrome,https://www.webmd.com/children/aarskog-syndrome-10704,For a Complete Report,Last Updated: 5/29/2012Copyright 1989; 1990; 1994; 1995; 1996; 2003; 2004; 2007; 2009; 2012 National Organization for Rare Disorders; Inc.
AAS,https://www.webmd.com/children/aarskog-syndrome-10704,For a Complete Report,Last Updated: 5/29/2012Copyright 1989; 1990; 1994; 1995; 1996; 2003; 2004; 2007; 2009; 2012 National Organization for Rare Disorders; Inc.
Aase Syndrome,https://www.webmd.com/children/aase-syndrome,For a Complete Report,Last Updated: 5/8/2008Copyright 1986; 1990; 1993; 2000; 2003 National Organization for Rare Disorders; Inc.
Aase-Smith Syndrome II,https://www.webmd.com/children/aase-syndrome,For a Complete Report,Last Updated: 5/8/2008Copyright 1986; 1990; 1993; 2000; 2003 National Organization for Rare Disorders; Inc.
AAT,https://www.webmd.com/lung/copd/alpha-1-antitrypsin-deficiency,For a Complete Report,Last Updated: 5/12/2011Copyright 1985; 1988; 1990; 1991; 1993; 1996; 1997; 1998; 1999; 2001; 2002; 2005; 2008; 2011 National Organization for Rare Disorders; Inc.
AAT Deficiency,https://www.webmd.com/lung/copd/alpha-1-antitrypsin-deficiency,For a Complete Report,Last Updated: 5/12/2011Copyright 1985; 1988; 1990; 1991; 1993; 1996; 1997; 1998; 1999; 2001; 2002; 2005; 2008; 2011 National Organization for Rare Disorders; Inc.
Abdominal Migraine,https://www.webmd.com/digestive-disorders/cyclic-vomiting-syndrome,For a Complete Report,Last Updated: 6/4/2012Copyright 1992; 1998; 1999; 2002; 2007; 2008; 2012 National Organization for Rare Disorders; Inc.
Abdominal Muscle Deficiency Syndrome,https://www.webmd.com/children/prune-belly-syndrome,For a Complete Report,Last Updated: 7/23/2007Copyright 1987; 1989; 1995; 1997; 1998; 2005; 2007 National Organization for Rare Disorders; Inc.
Abdominal Wall Defect,https://www.webmd.com/children/gastroschisis,For a Complete Report,Last Updated: 10/12/2007Copyright 1992; 1994; 2003; 2007 National Organization for Rare Disorders; Inc.
Abercrombie Syndrome,https://www.webmd.com/a-to-z-guides/amyloidosis-11083,For a Complete Report,Last Updated: 3/12/2013Copyright 1984; 1985; 1986; 1987; 1988; 1989; 1990; 1991; 1992; 1995; 1996; 1997; 1998; 1999; 2001; 2002; 2003; 2006; 2007; 2010; 2013 National Organization for Rare Disorders; Inc.
Abetalipoproteinemia,https://www.webmd.com/children/abetalipoproteinemia,For a Complete Report,Last Updated: 10/24/2012Copyright 2005; 2012 National Organization for Rare Disorders; Inc.
Abiotrophic Ophthalmoplegia Externa,https://www.webmd.com/children/congenital-fibrosis-of-the-extraocular-muscles,For a Complete Report,Last Updated: 3/9/2013Copyright 2000; 2010; 2013 National Organization for Rare Disorders; Inc.
ABL,https://www.webmd.com/children/abetalipoproteinemia,For a Complete Report,Last Updated: 10/24/2012Copyright 2005; 2012 National Organization for Rare Disorders; Inc.
Ablepharon Macrostomia Syndrome,https://www.webmd.com/children/ablepharon-macrostomia-syndrome,For a Complete Report,Last Updated: 8/7/2007Copyright 1997; 2001; 2002; 2007 National Organization for Rare Disorders; Inc.
Abnormal Pap Test,https://www.webmd.com/women/guide/pap-smear,How Often Should I Have a Pap Test?,CDC: Genital HPV Infection -- Fact Sheet.
Abortion,https://www.webmd.com/women/tc/abortion-topic-overview,Frequently Asked Questions,Ongoing concerns:
Abruptio Placenta,https://www.webmd.com/baby/tc/placenta-abruptio-topic-overview,Can you prevent placenta abruptio?,There is no sure way to prevent placenta abruptio; but you can do things to lower your risk. Your risk is much higher than normal if you have had placenta abruptio before; so these steps are very important.
Abruption, Placental,https://www.webmd.com/baby/tc/placenta-abruptio-topic-overview,Can you prevent placenta abruptio?,There is no sure way to prevent placenta abruptio; but you can do things to lower your risk. Your risk is much higher than normal if you have had placenta abruptio before; so these steps are very important.
ABS -- Amniotic Bands,https://www.webmd.com/parenting/baby/amniotic-bands,For a Complete Report,Last Updated: 5/10/2012Copyright 1989; 1999; 2000; 2009; 2012 National Organization for Rare Disorders; Inc.
ABS -- Antley Bixler Syndrome,https://www.webmd.com/children/antley-bixler-syndrome,For a Complete Report,Last Updated: 9/17/2007Copyright 1986; 1990; 1994; 2000; 2003; 2007 National Organization for Rare Disorders; Inc.
Abscessed Tooth,https://www.webmd.com/oral-health/guide/abscessed-tooth,Can It Be Prevented?,Journal of the Canadian Dental Association: How Do I Manage a Patient with Periodontal Abscess?
Absence Defect of Limbs, Scalp and Skull,https://www.webmd.com/children/adams-oliver-syndrome,For a Complete Report,Last Updated: 4/6/2009Copyright 1988; 1989; 1997; 1998; 2004; 2007; 2009 National Organization for Rare Disorders; Inc.
Absence of Menstruation, Primary,https://www.webmd.com/infertility-and-reproduction/guide/absence-periods,Causes,National Institute of Child Health & Human Development: "Amenorrhea."
Absence Seizure,https://www.webmd.com/epilepsy/guide/understanding-absence-seizure-basics,What Causes Absence Seizures?,Mattson R.Overview: Idiopathic Generalized Epilepsies; Epilepsia; 2003.
Abt-Letterer-Siwe Disease,https://www.webmd.com/children/langerhans-cell-histiocytosis,For a Complete Report,Last Updated: 2/24/2012Copyright 1987; 1989; 1992; 2002; 2003; 2004; 2007; 2009; 2012 National Organization for Rare Disorders; Inc.
Abuse, Child,https://www.webmd.com/parenting/tc/child-maltreatment-topic-overview,Frequently Asked Questions,Signs of abuse and neglect:
ACADL,https://www.webmd.com/children/very-long-chain-acyl-coa-dehydrogenase-deficiency-lcad,For a Complete Report,Last Updated: 6/27/2013Copyright 1996; 1998; 2001; 2004; 2010; 2013 National Organization for Rare Disorders; Inc.
ACADM Deficiency,https://www.webmd.com/children/medium-chain-acyl-coa-dehydrogenase-deficiency,For a Complete Report,Last Updated: 4/11/2008Copyright 1988; 1989; 1996; 1998; 2005 National Organization for Rare Disorders; Inc.
Acampomelic Campomelic Dysplasia,https://www.webmd.com/children/campomelic-syndrome,For a Complete Report,Last Updated: 9/17/2007Copyright 1993; 2003; 2007 National Organization for Rare Disorders; Inc.
Acanthocheilonemiasis,https://www.webmd.com/children/acanthocheilonemiasis,For a Complete Report,Last Updated: 5/11/2009Copyright 1986; 1993; 1997; 2005; 2009 National Organization for Rare Disorders; Inc.
Acanthocheilonemiasis Perstans,https://www.webmd.com/children/acanthocheilonemiasis,For a Complete Report,Last Updated: 5/11/2009Copyright 1986; 1993; 1997; 2005; 2009 National Organization for Rare Disorders; Inc.
Acanthocytosis,https://www.webmd.com/digestive-disorders/celiac-disease/celiac-disease-symptoms,When to Call Your Doctor,TeensHealth: Celiac Disease.
Acanthocytosis-Neurologic Disorder,https://www.webmd.com/brain/neuroacanthocytosis,For a Complete Report,Last Updated: 3/20/2014Copyright 1993; 1999; 2007; 2011; 2014 National Organization for Rare Disorders; Inc.
Acantholysis Bullosa,https://www.webmd.com/skin-problems-and-treatments/epidermolysis-bullosa,For a Complete Report,Last Updated: 6/27/2013Copyright 1984; 1985; 1986; 1987; 1988; 1989; 1990; 1991; 1992; 1993; 1994; 1995; 1996; 1997; 1999; 2002; 2005; 2006; 2007; 2008; 2009; 2013 National Organization for Rare Disorders; Inc.
Acanthosis Bullosa,https://www.webmd.com/skin-problems-and-treatments/epidermolysis-bullosa,For a Complete Report,Last Updated: 6/27/2013Copyright 1984; 1985; 1986; 1987; 1988; 1989; 1990; 1991; 1992; 1993; 1994; 1995; 1996; 1997; 1999; 2002; 2005; 2006; 2007; 2008; 2009; 2013 National Organization for Rare Disorders; Inc.
Acanthosis Nigricans,https://www.webmd.com/skin-problems-and-treatments/acanthosis-nigricans-overview,Can Acanthosis Nigricans Be Prevented?,American Diabetes Association.
Acanthotic Nevus,https://www.webmd.com/skin-problems-and-treatments/keratosis-seborrheic,For a Complete Report,Last Updated: 8/7/2007Copyright 1987; 1990; 1999; 2007 National Organization for Rare Disorders; Inc.
ACC -- Adenoid Cystic Carcinoma,https://www.webmd.com/cancer/adenoid-cystic-carcinoma,For a Complete Report,Last Updated: 3/31/2009Copyright 1999; 2001; 2004 National Organization for Rare Disorders; Inc.
ACC -- Agenesis of Corpus Callosum,https://www.webmd.com/children/agenesis-of-corpus-callosum,For a Complete Report,Last Updated: 8/8/2007Copyright 1987; 1990; 2000; 2005; 2007 National Organization for Rare Disorders; Inc.
ACC -- Aplasia Cutis Congenita,https://www.webmd.com/children/aplasia-cutis-congenita,For a Complete Report,Last Updated: 8/9/2007Copyright 1992; 1996; 2002; 2007 National Organization for Rare Disorders; Inc.
Accessory Atrioventricular Pathways,https://www.webmd.com/heart-disease/wolff-parkinson-white-syndrome,For a Complete Report,Last Updated: 4/6/2007Copyright 1989; 1991; 1994; 1999; 2007 National Organization for Rare Disorders; Inc.
Accutane Embryopathy,https://www.webmd.com/children/fetal-retinoid-syndrome,For a Complete Report,Last Updated: 5/29/2003Copyright 2003 National Organization for Rare Disorders; Inc.
Accutane, Fetal Effects of,https://www.webmd.com/children/fetal-retinoid-syndrome,For a Complete Report,Last Updated: 5/29/2003Copyright 2003 National Organization for Rare Disorders; Inc.
ACD,https://www.webmd.com/lung/alveolar-capillary-dysplasia-11220,For a Complete Report,Last Updated: 10/23/2003Copyright 2003 National Organization for Rare Disorders; Inc.
ACF with Cardiac Defects,https://www.webmd.com/children/cayler-syndrome,For a Complete Report,Last Updated: 4/11/2008Copyright 1996; 2003 National Organization for Rare Disorders; Inc.
ACH,https://www.webmd.com/children/achondroplasia,For a Complete Report,Last Updated: 8/17/2007Copyright 1986; 1990; 1992; 1993; 1994; 1995; 1997; 2001; 2004; 2007 National Organization for Rare Disorders; Inc.
Achalasia,https://www.webmd.com/heartburn-gerd/achalasia,For a Complete Report,Last Updated: 9/23/2007Copyright 1986; 1993; 1995; 1999; 2006; 2007 National Organization for Rare Disorders; Inc.
Achard Thiers Syndrome,https://www.webmd.com/women/achard-thiers-syndrome,For a Complete Report,Last Updated: 5/27/2008Copyright 1986; 1994; 2005 National Organization for Rare Disorders; Inc.
Achilles Tendon Problems,https://www.webmd.com/a-to-z-guides/tc/achilles-tendon-problems-topic-overview,Frequently Asked Questions,Ongoing concerns:
Acholuric Jaundice,https://www.webmd.com/a-to-z-guides/anemia-hereditary-spherocytic-hemolytic,For a Complete Report,Last Updated: 2/20/2007Copyright 1986; 1987; 1988; 1989; 1990; 1993; 2002; 2007 National Organization for Rare Disorders; Inc.
Achondrogenesis,https://www.webmd.com/children/achondrogenesis,For a Complete Report,Last Updated: 5/7/2014Copyright 1992; 1999; 2004; 2007; 2010; 2014 National Organization for Rare Disorders; Inc.
Achondroplasia,https://www.webmd.com/children/achondroplasia,For a Complete Report,Last Updated: 8/17/2007Copyright 1986; 1990; 1992; 1993; 1994; 1995; 1997; 2001; 2004; 2007 National Organization for Rare Disorders; Inc.
Achondroplastic Dwarfism,https://www.webmd.com/children/achondroplasia,For a Complete Report,Last Updated: 8/17/2007Copyright 1986; 1990; 1992; 1993; 1994; 1995; 1997; 2001; 2004; 2007 National Organization for Rare Disorders; Inc.
Acid Beta-Glucosidase Deficiency,https://www.webmd.com/children/gaucher-disease-11178,For a Complete Report,Last Updated: 3/4/2014Copyright 1984; 1985; 1986; 1987; 1988; 1989; 1990; 1992; 1993; 1994; 1995; 1996; 1997; 1998; 1999; 2001; 2002; 2003; 2004; 2007; 2008; 2011; 2014 National Organization for Rare Disorders; Inc.
Acid Ceramidase Deficiency,https://www.webmd.com/children/farbers-disease,For a Complete Report,Last Updated: 3/31/2008Copyright 1988; 1989; 1998; 2005 National Organization for Rare Disorders; Inc.
Acid Maltase Deficiency,https://www.webmd.com/children/pompe-disease,For a Complete Report,Last Updated: 4/1/2013Copyright 1987; 1990; 1991; 1996; 1997; 1998; 1999; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2013 National Organization for Rare Disorders; Inc.
Acidemia, Isovaleric,https://www.webmd.com/children/acidemia-isovaleric,For a Complete Report,Last Updated: 8/7/2007Copyright 1988; 1989; 2002; 2007 National Organization for Rare Disorders; Inc.
Acidemia, Methylmalonic,https://www.webmd.com/children/acidemia-methylmalonic,For a Complete Report,Last Updated: 8/8/2007Copyright 1987; 1988; 1990; 2000; 2002; 2007 National Organization for Rare Disorders; Inc.
Acidemia, Propionic,https://www.webmd.com/children/acidemia-propionic,For a Complete Report,Last Updated: 8/8/2007Copyright 1988; 1989; 2000; 2002; 2007 National Organization for Rare Disorders; Inc.
Acne,https://www.webmd.com/skin-problems-and-treatments/acne/default.htm,For a Complete Report,Acne may be mild (few; occasional pimples); moderate (inflammatory papules); or severe (nodules and cysts). Treatment depends on the severity of the condition.
Acquired Lipodystrophy,https://www.webmd.com/diabetes/acquired-lipodystrophy,Getting Support,Kumar; R. Indian Pediatrics; January 2000.
Acromegaly,https://www.webmd.com/a-to-z-guides/acromegaly-causes-symptoms-treatment,Getting Support,The Pituitary Society: Pituitary Gland Overview."
ADD/ADHD,https://www.webmd.com/add-adhd/default.htm,Getting Support,There are three groups of symptoms:
Adenosine Deaminase Severe Combined Immunodeficiency (ADA-SCID),https://www.webmd.com/a-to-z-guides/adenosine-deaminase-severe-combined-immunodeficiency,Getting Support,Immune Deficiency Foundation: ''About Primary Immunodeficiency'' and ''Severe Combined Immune Deficiency and Combined Immune Deficiency.''
ADHD in Children,https://www.webmd.com/add-adhd/childhood-adhd/default.htm,Getting Support,Symptoms of ADHD can differ from person to person; but there are three basic types of ADHD. Each one is identified by the symptoms of hyperactivity; impulsivity; and inattention. When the main symptoms are inattention; distraction; and disorganization; the type is usually called primarily inattentive. The symptoms of hyperactivity and possibly impulsiveness appear to diminish with age but are seen in the primarily hyperactive/impulsive type. The third type has some symptoms from each of the other two and is called the combined type.
Adult Vaccines,https://www.webmd.com/vaccines/default.htm,Getting Support,An ounce of prevention is really worth a pound of cure; says Evan Anderson; MD. Many adults are at risk of vaccine-preventable illnesses; and sometimes the damage is done after an infection has set in.
AFD,https://www.webmd.com/children/nager-syndrome-10442,For a Complete Report,Last Updated: 4/20/2008Copyright 1992; 1993; 2000; 2002 National Organization for Rare Disorders; Inc.
Afibrinogenemia, Congenital,https://www.webmd.com/children/afibrinogenemia-congenital,For a Complete Report,Last Updated: 8/8/2007Copyright 1993; 1999; 2007 National Organization for Rare Disorders; Inc.
AGA,https://www.webmd.com/children/aspartylglycosaminuria,For a Complete Report,Last Updated: 3/2/2008Copyright 1992; 2004 National Organization for Rare Disorders; Inc.
Agammaglobulinemias, Primary,https://www.webmd.com/children/agammaglobulinemias-primary,For a Complete Report,Last Updated: 6/16/2010Copyright 1986; 1987; 1988; 1989; 1993; 1996; 1998; 1999; 2001; 2007; 2009; 2010 National Organization for Rare Disorders; Inc.
Aganglionic Megacolon,https://www.webmd.com/children/tc/hirschsprungs-disease-topic-overview,How is it treated?,In a few cases; emergency surgery may be needed if a dangerous problem such as serious swelling of the small and large intestines (enterocolitis) occurs.
Agenesis of Commissura Magna Cerebri,https://www.webmd.com/children/agenesis-of-corpus-callosum,For a Complete Report,Last Updated: 8/8/2007Copyright 1987; 1990; 2000; 2005; 2007 National Organization for Rare Disorders; Inc.
Agenesis of Corpus Callosum,https://www.webmd.com/children/agenesis-of-corpus-callosum,For a Complete Report,Last Updated: 8/8/2007Copyright 1987; 1990; 2000; 2005; 2007 National Organization for Rare Disorders; Inc.
Age-Related Macular Degeneration,https://www.webmd.com/eye-health/macular-degeneration/age-related-macular-degeneration-overview,What Is the Outlook for People With Macular Degeneration?,National Institutes of Health web site: "NIH study provides clarity on supplements for protection against blinding eye disease."
Aggressive Mastocytosis,https://www.webmd.com/a-to-z-guides/mastocytosis-10871,For a Complete Report,Last Updated: 4/2/2014Copyright 1987; 1990; 1992; 1994; 1996; 1998; 1999; 2002; 2004; 2007; 2014 National Organization for Rare Disorders; Inc.
Aging,https://www.webmd.com/healthy-aging/default.htm,For a Complete Report,Some of the following changes may apply to you. Others may not. A healthy lifestyle may slow many of these normal effects of aging.
Aging, Sexuality and Physical Changes,https://www.webmd.com/healthy-aging/tc/sexuality-and-physical-changes-with-aging-topic-overview,For a Complete Report,In most healthy adults; pleasure and interest in sex do not diminish with age. Age alone is no reason to change the sexual practices that you have enjoyed throughout your life. But you may have to make a few minor adjustments to accommodate any physical limitations you may have or the effects of certain illnesses or medicines.
Agnogenic Myeloid Metaplasia (AMM),https://www.webmd.com/cancer/lymphoma/myelofibrosis-idiopathic,For a Complete Report,Last Updated: 5/8/2013Copyright 1986; 1987; 1988; 1989; 1996; 2000; 2002; 2008; 2011; 2013 National Organization for Rare Disorders; Inc.
Agnosia, Primary Visual,https://www.webmd.com/eye-health/agnosia-primary-visual,For a Complete Report,Last Updated: 3/8/2012Copyright 1994; 2003; 2008; 2009; 2012 National Organization for Rare Disorders; Inc.
Agnosis, Primary,https://www.webmd.com/eye-health/agnosia-primary-visual,For a Complete Report,Last Updated: 3/8/2012Copyright 1994; 2003; 2008; 2009; 2012 National Organization for Rare Disorders; Inc.
Agoraphobia,https://www.webmd.com/anxiety-panic/agoraphobia,Treatments,NHS: "Agoraphobia."
